id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,value_season,bonus,starts_per_90,cost_change_start,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,ep_next,event_points,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank,total_points
581,Alex Smithies,39,GKP,Leicester,0,14,0,0,565,0,0,24,8241,0,0,0,0,-1,0,1,0,0,0,57,0,0,0,0,0,551,0,528,0,0,a,64,0,0,0,0,0,37,45,,547,,0,0,0,0,,0,0,0,426,513,0,491,0,9532,0,0,0.1,45,46,0,729,0
612,Wout Faes,42,DEF,Leicester,0.23,81,0.02,0.58,223,1,0,75,62723,1,18.6,5,1,-3,52.76,3,1.7,1,93,136,662.4,0,2.8,10,115.6,157,0,266,1.2,2,a,166,0,4,51,0.06,2,9,34,100,51,,87.1,4.2,1,1.78,100,31,2.5,2786,44,362,0.04,280,4.2,78549,545,1.65,0.2,11,81,7,606,78
639,Sammy Braybrooke,45,MID,Leicester,0,300,0,0,737,0,0,306,1159,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,731,0,725,0,0,i,260,0,0,0,0,0,272,305,0,729,,0,0,0,0,0,0,0,0,680,720,0,714,0,1270,0,0,0,304,311,0,449,0
645,Joe Wormleighton,40,DEF,Leicester,0,223,0,0,638,0,0,228,1970,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,624,0,606,0,0,a,220,0,0,0,0,0,188,230,,620,,0,0,0,0,,0,0,0,508,581,0,575,0,2295,0,0,0,231,232,0,710,0
687,Kasey McAteer,45,MID,Leicester,0,278,0,0,715,0,0,286,132,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,705,0,700,0,0,u,230,0,0,0,0,0,250,284,0,701,,0,0,0,0,0,0,0,0,651,765,0,684,0,148,0,0,0,281,294,0,408,0
709,Victor Kristiansen,45,DEF,Leicester,0,155,0.06,0.6,451,0,0,72,5706,0,3.6,0,1.11,0,17.88,0,1.81,0,14,216,173.2,0,0,0,119.3,359,0,261,0.12,0,a,86,0,2,21,0.07,1,249,126,100,323,,30.8,0,0,0.72,100,11,1.3,891,656,586,0.01,432,0,7535,111,2.12,0,131,156,0,417,16
715,Mateus Cardoso Lemos Martins,49,MID,Leicester,0,139,0.03,0.26,295,1,0,159,25252,0.1,5.5,1,1.11,-6,13.22,6,1.63,0,109,194,84,0,0.5,0,98.7,368,0,291,1.73,0,a,144,0,0,15,0.24,0,169,167,,403,,28.8,0.4,0,1.99,,9,2.1,732,357,503,0.21,265,0.4,29531,90,1.84,0.1,173,117,0,247,27
727,Harry Souttar,45,DEF,Leicester,0.09,111,0.01,0.1,377,0,0,134,6995,0.3,4.4,0,1,0,18.81,0,1.71,0,65,193,242.6,0,1.8,0,38.9,342,0,384,1.47,1,a,74,0,2,19,0.14,1,75,120,100,275,,34.6,1.4,0,1.57,100,11,1.7,991,230,516,0.13,326,1.4,11306,151,1.73,0.1,105,135,1,365,20
735,Wanya Marçal-Madivadua,45,MID,Leicester,0,277,0,0,714,0,0,285,209,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,704,0,699,0,0,a,229,0,0,0,0,0,249,283,,700,,0,0,0,0,,0,0,0,650,749,0,683,0,289,0,0,0,280,293,0,407,0
221,Liam Cooper,44,DEF,Leeds,0.13,45,0.02,0.31,375,1,0,117,17632,0,7,1,1.01,-1,26.08,1,1.65,0,145,187,309.8,0,0,-1,65.2,271,0,344,0.9,0,a,91,0,5,32,0.08,0,262,92,100,214,,51.7,-0.2,0,1.21,100,16,1.7,1425,778,509,0.06,221,-0.2,14344,238,2.02,0.1,81,133,2,476,31
222,Luke Ayling,45,DEF,Leeds,0.13,17,0.1,2.24,319,2,0,39,59610,0.5,13.1,4,0.97,0,42.12,0,1.85,0,264,125,451.8,0,2.8,0,209.3,144,0,171,2.93,0,a,61,0,3,48,0.23,1,42,29,100,135,,92.8,2.2,1,5.17,100,22,2,2048,143,335,0.13,144,2.2,82527,336,2.11,0.3,45,120,3,344,59
223,Mateusz Klich,46,MID,Leeds,0,177,0.07,0.22,537,0,0,174,14400,0,2.6,0,0,-4,4.99,4,1.69,0,50,207,39.6,0,0,0,69.3,421,0,334,0.16,0,u,198,0,2,5,0.12,0,284,190,0,453,,15.2,0,0,0.38,0,0,0.9,266,697,539,0.05,360,0,5483,43,1.69,0,198,253,0,326,12
224,Adam Forshaw,44,MID,Leeds,0,243,0.12,0.65,448,0,0,183,9557,0.4,3.6,0,0.95,-1,11.94,1,2.27,0,0,225,49.6,0,1.5,2,62,439,0,351,0.03,0,a,278,0,0,13,0.13,0,100,198,100,440,,11.3,1.6,0,0.68,100,5,1.3,473,214,565,0.01,617,1.6,5411,78,2.47,0,193,197,0,478,16
225,Rodrigo Moreno,63,MID,Leeds,0.23,13,0.06,1.24,50,13,0,100,4737677,0.6,20.2,6,1.07,3,36.79,-3,1.72,0,853,27,577.6,0,3.2,2,241.1,50,0,147,8.04,0,d,30,0,6,43,0.44,2,33,37,75,84,4,166.5,3.8,3,9.28,75,23,4.1,1928,63,88,0.38,24,2.8,4664500,368,2.01,4.1,38,24,5,58,127
226,Stuart Dallas,49,DEF,Leeds,0,259,0,0,757,0,0,259,3442,0,0,0,0,-1,0,1,0,0,0,237,0,0,0,0,0,755,0,753,0,0,i,30,0,0,0,0,0,252,259,0,754,,0,0,0,0,0,0,0,0,721,658,0,746,0,2762,0,0,0,259,259,0,224,0
227,Patrick Bamford,71,FWD,Leeds,0.06,18,0.05,0.9,235,4,2,30,288276,0.3,9.9,3,1.07,-4,27.99,4,1.67,0,588,48,252.2,0,1.4,0,171.6,127,0,203,8.51,0,d,16,0,3,31,0.56,5,23,21,50,270,1,99.6,2.2,0,9.41,50,18,2.5,1510,152,286,0.51,47,1.1,190355,157,1.85,0.4,30,30,1,35,70
228,Diego Llorente,44,DEF,Leeds,0.14,136,0,0.03,315,0,0,163,50345,0,3.6,2,0.97,-1,11,1,1.53,0,40,134,99,0,0,0,5.8,425,0,457,0.72,0,u,98,0,1,12,0.1,0,230,152,0,380,,14.6,0,0,0.75,0,7,2,648,579,359,0.1,380,0,30610,115,1.67,0.2,147,116,1,488,16
229,Tyler Roberts,50,MID,Leeds,0,326,0,0,762,0,0,328,40,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,761,0,759,0,0,u,109,0,0,0,0,0,312,328,0,760,,0,0,0,0,0,0,0,0,733,770,0,754,0,0,0,0,0,328,329,0,193,0
230,Robin Koch,45,DEF,Leeds,0.14,26,0.01,0.47,411,0,0,110,35724,0,12.2,2,1.02,0,63.02,0,1.79,0,201,149,589.2,0,0.2,0,72.9,159,0,329,1.59,1,a,73,0,7,74,0.06,0,127,36,100,80,,86.3,0.2,0,2.06,100,36,1.5,3175,385,393,0.05,180,0.2,30772,447,2.1,0.2,21,148,5,364,55
232,Raphael Dias Belloli,70,MID,Leeds,0,338,0,0,777,0,0,338,12514,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,777,0,777,0,0,u,21,0,0,0,0,0,337,338,0,777,,0,0,0,0,0,0,0,0,773,458,0,777,0,0,0,0,0.1,338,338,0,42,0
233,Jack Harrison,57,MID,Leeds,0.2,43,0.17,5.06,85,5,0,17,1131164,0.6,23.5,15,1.13,-3,49.47,3,1.64,0,466,44,556.2,0,2,8,791.5,42,0,20,5.44,1,a,46,0,2,55,0.35,8,41,29,100,94,,181.2,3.2,2,10.5,100,34,3.7,2707,83,130,0.18,67,3.2,1164069,403,1.83,2.1,43,36,6,84,134
234,Jamie Shackleton,45,MID,Leeds,0,267,0,0,696,0,0,275,465,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,685,0,679,0,0,u,214,0,0,0,0,0,238,273,0,680,,0,0,0,0,0,0,0,0,627,748,0,663,0,0,0,0,0,270,284,0,377,0
235,Pascal Struijk,45,DEF,Leeds,0.16,18,0.05,1.2,255,2,0,38,269277,0.1,14.7,4,1.06,0,42.41,0,1.74,0,253,97,544.4,0,0.8,-1,216.2,122,0,167,1.35,0,a,78,0,5,52,0.11,2,110,24,100,100,,101.5,0.4,0,2.55,100,26,2.3,2198,352,268,0.06,147,0.4,290060,423,2.13,0.5,33,95,4,378,66
236,Kristoffer Klaesson,38,GKP,Leeds,0,10,0,0,560,0,0,20,57527,0,0,0,0,-2,0,2,0,0,0,36,0,0,0,0,0,546,0,521,0,0,a,83,0,0,0,0,0,35,43,,542,,0,0,0,0,,0,0,0,421,231,0,484,0,78626,0,0,0.7,43,44,0,771,0
237,Sam Greenwood,41,FWD,Leeds,0,55,0.23,1.06,371,1,0,24,3465091,0.1,7.3,1,0.66,-4,11.8,4,2.59,0,85,9,121.8,0,0.8,0,210.5,315,0,170,0.69,0,a,93,0,1,11,0.38,2,44,46,,362,,41.6,0.6,1,1.75,,3,1.7,410,322,42,0.15,294,0.6,2428125,107,2.41,10.8,43,48,0,643,30
238,Illan Meslier,44,GKP,Leeds,0.15,1,0,0.01,204,0,0,75,405404,0,20.5,8,1,-1,57.06,1,1.68,0,17,20,738.6,0,0.2,0,0,192,2.76,653,0.12,0,a,24,94,3,67,0,0,27,9,100,36,,75.9,0.2,1,0.13,100,34,2.6,3060,383,146,0,429,0.2,311715,548,1.97,1.7,10,27,5,522,90
239,Junior Firpo Adames,45,DEF,Leeds,0.07,133,0.05,0.75,395,1,0,67,16221,0.1,6.7,3,0.92,0,29.81,0,1.97,1,41,175,286,0,0.5,0,123.4,299,0,251,0.12,0,a,82,0,5,33,0.06,2,111,102,100,234,,45,0.4,1,0.87,100,14,1.6,1364,353,471,0.01,375,0.4,19808,187,2.18,0.1,88,142,1,392,30
240,Crysencio Summerville,42,MID,Leeds,0.06,66,0.07,1.11,201,4,0,105,317220,0.1,17.6,4,0.77,-3,28.93,3,1.85,0,357,83,311.8,0,0.8,0,222.6,150,0,162,2.83,0,a,325,0,4,38,0.25,4,153,90,100,213,,88.6,0.6,1,3.94,100,12,2.6,1411,324,254,0.18,104,0.6,348296,235,2.42,0.6,91,78,1,618,74
241,Lewis Bate,45,MID,Leeds,0,273,0,0,705,0,0,281,1473,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,694,0,689,0,0,u,225,0,0,0,0,0,246,279,0,690,,0,0,0,0,0,0,0,0,640,722,0,673,0,0,0,0,0,276,290,0,396,0
242,Joe Gelhardt,51,FWD,Leeds,0,52,0.18,0.4,455,0,0,56,86968,0,3.9,0,0.45,-4,2.79,4,1.25,0,114,57,49.4,0,0,0,32.1,408,0,395,0.84,0,u,54,0,1,3,0.56,2,83,54,0,441,,19.4,0,0,1.24,0,1,1.3,201,744,379,0.38,255,0,39656,44,1.34,0.2,55,59,0,182,20
243,Leo Fuhr Hjelde,39,DEF,Leeds,0,189,0,0,581,0,0,198,35464,0,0,0,0,-1,0,1,0,0,0,142,0,0,0,0,0,568,0,547,0,0,u,249,0,0,0,0,0,153,200,0,564,,0,0,0,0,0,0,0,0,446,373,0,511,0,24317,0,0,0.2,201,201,0,754,0
244,Rasmus Kristensen,47,DEF,Leeds,0.09,37,0.04,0.88,325,3,0,56,104583,0.4,10.9,1,0.97,-3,40.63,3,1.87,0,160,111,474.4,0,2.2,0,143.6,183,0,229,0.86,0,a,54,0,4,53,0.08,1,60,46,100,125,,78,1.8,1,1.74,100,21,2,1957,190,300,0.04,207,1.8,73440,322,2.44,0.4,40,122,2,319,51
245,Marc Roca Junqué,48,MID,Leeds,0.08,71,0.1,2.49,292,1,0,52,24751,0.2,14,3,1.13,-2,46.6,2,1.81,0,323,175,433.6,0,1,0,475.8,93,0,63,2.1,0,a,172,0,7,60,0.18,3,143,64,100,143,,123.1,0.8,0,4.59,100,29,2.1,2316,302,478,0.08,112,0.8,20707,357,2.33,0.1,61,115,2,287,67
246,Brenden Aaronson,53,MID,Leeds,0.19,48,0.1,2.51,264,1,0,28,293517,0.2,15.7,0,1.07,-2,48.74,2,1.85,0,439,78,306,0,0.8,1,662.6,75,0,35,3.98,0,a,83,0,2,58,0.25,4,148,54,,218,,141.1,0.8,0,6.49,,28,2.3,2365,310,243,0.15,74,0.8,239376,232,2.21,0.6,94,100,5,151,83
247,Darko Gyabi,42,MID,Leeds,0,205,0,0,481,0,0,237,23662,0,0.2,0,0,-3,0.27,3,3.47,0,20,164,4.4,0,0,0,0.5,490,0,493,0.06,0,i,328,0,0,0,0.77,0,200,219,0,507,,2.5,0,0,0.06,0,0,1,7,547,449,0.77,419,0,23288,7,0,0.1,228,212,0,622,1
506,Tyler Adams,49,MID,Leeds,0.21,199,0.04,1.05,328,0,0,80,34653,0,9.6,1,1,-1,32.69,1,1.36,1,24,149,393.6,0,0,0,328.9,197,0,109,0.11,0,i,139,0,4,36,0.04,0,309,102,0,169,,74.9,0,0,1.16,0,24,2,2156,727,416,0,411,0,25400,290,1.5,0.1,69,129,5,240,47
508,Luis Sinisterra Lucumí,65,MID,Leeds,0,77,0.09,0.88,192,5,0,131,183517,0,8.2,6,1.36,0,18.12,0,1.89,1,305,122,242.8,0,0,0,157.7,217,0,215,3.81,0,i,27,0,1,23,0.49,0,335,107,0,273,,70.6,0,2,4.69,0,13,2.8,863,770,350,0.4,120,0,177816,173,2.4,0.2,114,75,0,55,53
547,Cody Drameh,40,DEF,Leeds,0,203,0.01,0.01,470,0,0,168,16896,0,0.2,0,1.29,0,1.4,0,1.8,0,0,158,12.8,0,0,0,2.7,499,0,465,0,0,u,198,0,0,3,0.01,0,168,175,0,481,,1.6,0,0,0.01,0,1,1,70,479,423,0,546,0,10934,16,3.86,0.1,170,163,0,679,1
565,Archie Gray,45,MID,Leeds,0,310,0,0,746,0,0,315,10584,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,742,0,736,0,0,i,271,0,0,0,0,0,280,314,0,741,,0,0,0,0,0,0,0,0,690,551,0,726,0,9027,0,0,0,314,318,0,462,0
578,Joel Robles,40,GKP,Leeds,0,31,0,0.01,349,0,0,40,6715,0.4,1.8,0,1,0,9.16,0,2.29,0,0,55,93.2,0,1.5,1,0,451,4,555,0,0,a,36,16,1,11,0,0,21,29,,388,,9.3,1.4,0,0.01,,4,1.8,360,228,464,0,520,1.4,9713,65,2.75,0.1,29,36,0,650,7
619,Wilfried Gnonto,47,FWD,Leeds,0.27,43,0.14,2.12,260,2,0,12,342756,0.3,11.7,6,0.94,-3,25.22,3,1.69,0,253,37,264.8,0,1.5,1,323.5,164,0,111,1.79,0,a,62,0,7,28,0.26,4,28,29,100,259,,84.3,1.4,1,3.91,100,14,2.3,1346,234,221,0.12,148,1.4,412731,183,1.87,0.7,28,34,4,324,55
659,Mateo Joseph Fernández,45,FWD,Leeds,0,64,0,0,517,0,0,67,5297,0,0.7,0,0,0,0.3,0,1.12,0,19,74,3,0,0,0,0.2,496,0,506,0.06,0,i,88,0,0,0,0.22,0,80,64,0,512,,2.2,0,0,0.06,0,0,1,24,693,568,0.22,423,0,6758,5,0,0,64,65,0,466,3
663,Sonny Perkins,45,FWD,Leeds,0,84,0,0,729,0,0,83,5188,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,720,0,714,0,0,a,84,0,0,0,0,0,76,84,100,718,,0,0,0,0,100,0,0,0,669,596,0,703,0,6294,0,0,0,83,84,0,434,0
691,Maximilian Wöber,44,DEF,Leeds,0.14,119,0.03,0.37,391,0,0,115,11994,0.1,5.7,2,1,-1,22.73,1,1.62,0,54,220,273.4,0,0.8,-1,65.8,324,0,342,0.77,0,a,112,0,3,23,0.08,0,108,111,100,249,,39.5,0.4,0,1.14,100,14,1.6,1264,350,591,0.05,342,0.4,14072,195,1.64,0,95,140,2,506,25
700,Georginio Rutter,50,FWD,Leeds,0,60,0.08,0.23,435,0,0,54,7713,0.2,3,0,0.34,-5,5.68,5,1.94,0,41,84,36.2,0,0,4,38.3,438,0,386,0.41,0,a,58,0,0,9,0.22,1,39,57,,456,,11.4,0.8,0,0.64,,1,1.4,263,308,629,0.14,377,0.8,9337,45,3.08,0,57,54,0,214,15
720,Weston McKennie,46,MID,Leeds,0.06,153,0.04,0.56,396,0,0,112,7952,0.5,6.7,0,1,-4,28.3,4,1.78,0,81,209,198.8,0,2.5,1,201.7,285,0,178,0.78,0,a,200,0,7,35,0.09,1,67,127,,308,,48.3,2.2,0,1.34,,16,1.6,1434,146,541,0.05,302,2.2,11887,135,2.2,0,127,169,1,335,31
742,Jeremiah Chilokoa-Mullen,40,DEF,Leeds,0,211,0,0,626,0,0,217,1208,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,612,0,593,0,0,a,208,0,0,0,0,0,176,219,,608,,0,0,0,0,,0,0,0,494,668,0,561,0,1442,0,0,0,220,221,0,696,0
743,Diogo Pinheiro Monteiro,40,DEF,Leeds,0,217,0,0,633,0,0,223,1760,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,619,0,601,0,0,a,214,0,0,0,0,0,182,225,,615,,0,0,0,0,,0,0,0,502,648,0,569,0,2261,0,0,0,226,227,0,704,0
274,James Milner,44,MID,Liverpool,0.3,147,0.17,1.63,428,0,0,110,204040,0.2,9.5,0,0.71,-1,13.56,1,1.37,0,92,80,172.8,0,1.8,2,207.2,289,0,175,0.4,0,a,276,0,2,12,0.21,1,124,130,100,324,1,47.2,1,0,2.03,100,7,1.4,889,272,248,0.04,283,2,156314,187,1.21,0.6,132,187,3,470,42
275,Jordan Henderson,53,MID,Liverpool,0.35,116,0.16,3.59,331,0,0,47,150109,0.3,13,0,1,-2,31.96,2,1.4,0,174,88,307.4,0,3,1,506.1,130,0,57,1.35,0,a,69,0,2,30,0.22,3,93,81,100,216,,99.1,1.8,0,4.93,100,23,2,2060,200,266,0.06,196,2.8,69647,401,1.31,0.5,93,132,8,133,69
276,Joel Matip,59,DEF,Liverpool,0.25,87,0.08,0.93,216,1,0,127,303529,0,6.1,4,0.99,-1,16.46,1,1.36,0,90,70,223.4,0,1,0,49.5,336,0,370,0.87,1,a,7,0,3,20,0.15,0,260,117,100,288,,36.2,0,1,1.8,100,12,2.6,1091,769,198,0.07,289,1,136871,216,1.65,0.9,113,77,3,72,36
277,Thiago Alcántara do Nascimento,51,MID,Liverpool,0.14,149,0.08,1.18,382,0,0,93,267515,0,5.9,0,1.01,-4,21.41,4,1.54,0,86,79,244.4,0,0,0,265.8,246,0,134,0.46,0,i,94,0,2,23,0.11,0,318,116,0,271,,59.8,0,0,1.64,0,14,1.7,1252,741,246,0.03,293,0,113597,194,1.65,0.6,113,163,2,168,30
278,Alex Oxlade-Chamberlain,49,MID,Liverpool,0,151,0.05,0.18,276,1,0,176,5400,0,4.1,2,1.08,-1,6.64,1,1.8,0,84,257,72.4,0,1,0,66.3,397,0,340,1.27,0,a,125,0,0,7,0.39,0,304,176,100,409,,22.3,0,0,1.45,100,4,2.2,332,720,641,0.34,296,1,4977,57,1.9,0,176,105,0,223,20
279,Roberto Firmino,80,FWD,Liverpool,0.3,12,0.16,2.16,43,11,0,13,1865138,0.2,13,12,0.97,0,19.91,0,1.49,0,792,15,542,0,2.4,5,293.2,54,0,123,5.48,0,a,10,0,0,17,0.57,4,25,12,100,101,,162.8,2,2,7.64,100,13,4.2,1202,175,102,0.41,27,3,1942888,447,1.27,3.2,9,9,4,15,104
280,Virgil van Dijk,66,DEF,Liverpool,0.35,5,0.03,1.09,57,3,0,68,2302625,0.7,19.2,13,1.02,1,41.17,-1,1.31,0,389,13,743.2,0,6.2,0,121,87,0,257,2.5,0,a,4,0,3,36,0.11,1,8,11,100,33,,125.4,4.3,3,3.59,100,32,4,2835,43,38,0.08,91,5.3,1780745,636,1.14,12.4,6,9,11,48,127
281,Alisson Ramses Becker,55,GKP,Liverpool,0.38,85,0,0.02,26,0,0,8,2415119,0.9,29.5,15,1,0,50.02,0,1.35,0,0,3,966.4,1,6.6,0,10.1,137,2.89,449,0,0,a,1,107,1,43,0,1,3,4,100,9,,97.6,4.7,1,0.02,100,37,4.4,3330,31,20,0,774,5.7,2149018,824,1.16,16.8,4,6,14,106,162
282,Fabio Henrique Tavares,52,MID,Liverpool,0.37,140,0.06,1.87,343,0,0,86,169205,0.5,13.5,0,1.05,-3,39.21,3,1.32,0,109,72,379.2,0,3.2,4,302,179,0,118,0.7,0,a,88,0,11,34,0.08,2,61,98,100,182,3,79,2.5,0,2.57,100,31,1.9,2666,130,217,0.02,266,3.5,105719,394,1.15,0.8,75,141,11,159,70
283,Mohamed Salah,131,MID,Liverpool,0.36,1,0.19,7.03,5,19,2,13,8866317,0.6,18.2,23,1.01,1,47.47,-1,1.3,0,1620,2,1046.2,0,10,5,869.9,3,0,15,21.01,0,a,1,0,2,45,0.76,13,1,1,,5,2,353.7,8.3,6,28.04,,37,6.3,3290,3,4,0.57,3,9.3,6974743,651,1.23,37.2,1,1,13,1,239
284,Andrew Robertson,68,DEF,Liverpool,0.31,23,0.23,6.69,95,0,0,3,2363739,0.4,17.8,10,1.01,-2,36.59,2,1.28,0,211,22,549.2,0,3.2,0,862.1,55,0,16,1.24,0,d,3,0,3,34,0.27,8,31,5,75,98,,162.3,2.7,1,7.93,75,29,3.6,2579,120,65,0.04,171,2.8,1782843,633,1.19,6,31,23,9,45,121
285,Trent Alexander-Arnold,78,DEF,Liverpool,0.31,19,0.29,9.26,42,2,0,2,6440473,0.8,20,21,1.05,3,43.1,-3,1.33,0,241,2,779,0,7.4,4,1168.2,21,0,5,2.36,0,a,1,0,5,44,0.36,11,2,2,100,26,,219,6,4,11.62,100,34,4.2,2922,12,7,0.07,151,7,4236596,824,1.36,30.7,3,5,10,21,156
286,Joseph Gomez,43,DEF,Liverpool,0.49,143,0.04,0.67,129,0,0,129,568994,0,15.8,8,0.92,-2,25.28,2,1.56,0,27,77,297.8,0,1,0,43.7,333,0,374,0.2,0,a,137,0,3,16,0.05,0,223,115,100,227,,36.9,0,1,0.87,100,15,3.2,1461,563,214,0.01,399,1,588047,337,0.99,0.8,84,33,8,558,68
287,Naby Keita,47,MID,Liverpool,0.31,170,0.06,0.2,461,0,0,164,19011,0,2.1,0,0.93,-3,4.06,3,1.26,0,54,210,23.8,0,0,0,92.6,416,0,302,0.67,0,i,188,0,1,4,0.27,0,292,187,0,472,,16.9,0,0,0.87,0,3,1.2,290,707,543,0.21,345,0,10114,34,1.24,0,210,203,1,314,10
288,Diogo Teixeira da Silva,86,FWD,Liverpool,0.4,35,0.14,1.7,97,7,0,18,694434,0.4,9.3,9,0.96,-4,17.76,4,1.42,0,337,21,304.2,0,2.8,13,237.9,156,0,148,6.38,0,a,5,0,2,19,0.65,4,9,27,100,222,,87.5,3.7,3,8.08,100,12,3.6,1125,66,133,0.51,108,4.7,845827,282,1.52,2,24,14,5,10,80
289,Caoimhin Kelleher,39,GKP,Liverpool,0,18,0,0,306,0,0,28,21555,0.1,0.5,0,1,-1,1.77,1,1.77,0,0,46,0,0,1,2,0,557,6,535,0,0,a,68,6,0,4,0,0,26,48,100,553,,0,0.3,0,0,100,1,2,90,362,371,0,498,1.3,16821,20,4,0.2,48,35,0,739,2
290,Ibrahima Konaté,49,DEF,Liverpool,0.41,47,0.04,0.65,199,0,0,132,241740,0.6,10,0,0.99,-1,24.34,1,1.41,0,144,57,285.6,0,3.3,0,39.6,291,0,380,1.21,1,d,32,0,5,22,0.11,0,29,99,75,235,,46.8,2.8,0,1.86,75,17,2.7,1551,111,169,0.07,223,2.8,309412,305,1.28,1.3,89,71,7,241,49
291,Curtis Jones,49,MID,Liverpool,0.35,92,0.12,1.36,172,3,0,108,11011,1.1,10.6,4,1.05,-1,15.6,1,1.36,0,236,99,266.2,0,7.4,1,214.4,210,0,169,1.15,0,a,140,0,2,15,0.22,1,12,104,100,256,,71.6,5.5,1,2.51,100,12,2.9,1029,19,296,0.1,156,6.5,53411,206,1.31,0.4,108,68,4,242,52
292,Konstantinos Tsimikas,43,DEF,Liverpool,0.47,60,0.15,1.3,239,0,0,22,124482,0.3,11.2,2,1.06,-2,14.45,2,1.71,0,124,112,177.6,0,2.6,-1,281.7,251,0,125,0.68,0,a,142,0,3,11,0.23,4,82,80,100,317,,58.5,1.2,1,1.98,100,9,2.4,762,249,307,0.08,242,2.2,139456,216,1.3,0.4,125,88,4,566,48
293,Luis Díaz,78,MID,Liverpool,0.36,59,0.12,1.32,96,4,0,122,4016729,0.4,7.9,7,1,-2,11.99,2,1.09,0,388,20,236.2,0,4.8,1,176.7,177,0,196,2.48,0,a,10,0,2,11,0.35,2,39,97,100,278,,80.1,3.3,1,3.8,100,11,3.6,991,78,59,0.23,93,4.3,2486665,166,1,6.6,117,42,4,23,62
294,Harvey Elliott,48,MID,Liverpool,0.28,65,0.24,4.31,338,1,0,69,271327,0.2,12.9,2,1.01,-2,26.07,2,1.47,0,363,86,257,0,2,0,372.3,128,0,93,2.12,0,a,174,0,2,20,0.36,2,144,79,100,262,,99.4,0.8,0,6.43,100,18,1.9,1600,303,259,0.12,103,1.8,282220,286,1.12,0.5,110,136,5,291,62
296,Fábio Freitas Gouveia Carvalho,51,MID,Liverpool,0,118,0.07,0.25,300,2,0,199,136756,0,5.3,0,1.06,-4,5.01,4,1.33,0,173,116,89.4,0,1.2,0,36.7,367,0,391,1.11,0,a,104,0,0,3,0.36,1,187,166,100,395,,29.7,0.2,0,1.36,100,4,2.1,339,399,340,0.29,198,1.2,122389,80,0.8,0.3,167,121,0,181,27
297,Darwin Núñez Ribeiro,86,FWD,Liverpool,0.37,7,0.14,2.66,120,9,0,10,5508676,0.2,11.6,8,1.02,-4,28.62,4,1.53,1,1078,11,458.2,0,2,0,336.9,37,0,105,12.15,0,d,6,0,1,22,0.79,5,32,10,75,133,,186,1.3,1,14.81,75,19,3.4,1684,244,60,0.65,11,1.7,4112461,310,1.18,6.4,14,17,7,11,100
298,Calvin Ramsay,39,DEF,Liverpool,0,190,0,0,583,0,0,199,40065,0,0,0,0,-1,0,1,0,0,0,140,0,0,0,0,0,570,0,549,0,0,i,250,0,0,0,0,0,154,201,0,566,,0,0,0,0,0,0,0,0,448,369,0,513,0,27658,0,0,0.2,202,202,0,756,0
497,Adrián San Miguel del Castillo,38,GKP,Liverpool,0,8,0,0,557,0,0,18,79831,0,0,0,0,-2,0,2,0,0,0,37,0,0,1,0,0,543,0,517,0,0,a,81,0,0,0,0,0,33,42,,539,,0,0,0,0,,0,0,0,414,239,0,479,1,61345,0,0,0.6,42,43,0,764,0
498,Rhys Williams,40,DEF,Liverpool,0,199,0,0,604,0,0,207,745,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,590,0,571,0,0,u,193,0,0,0,0,0,163,209,0,586,,0,0,0,0,0,0,0,0,469,716,0,537,0,0,0,0,0,210,211,0,669,0
499,Ben Davies,40,DEF,Liverpool,0,192,0,0,592,0,0,201,579,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,579,0,560,0,0,u,185,0,0,0,0,0,156,203,0,575,,0,0,0,0,0,0,0,0,457,730,0,525,0,0,0,0,0,204,204,0,656,0
